property_type,num_beds,size_sqft,floor_level,furnishing,lat,lng,subzone,planning_area,price,years_left,dist_from_changi_airport,dist_from_cbd,dist_from_nearest_mall,dist_from_nearest_sschool,dist_from_nearest_pschool,dist_from_nearest_comm,dist_from_nearest_mrt
hdb,3,1115,unknown,unspecified,1.41439935,103.83719568172816,yishun south,yishun,514500.0,65,17.97,14.51,0.62,0.18,0.27,3.34,0.57
hdb,4,1575,unknown,unspecified,1.3725968000000002,103.87562460126242,serangoon north,serangoon,995400.0,69,12.67,10.17,0.55,0.29,0.12,2.39,1.73
condo,4,3070,low,partial,1.2987726,103.895798,mountbatten,marine parade,8485000.0,999,12.19,5.2,0.82,0.89,0.89,2.16,1.32
condo,3,958,unknown,partial,1.3123637,103.80327091227252,farrer court,bukit timah,2626000.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
condo,2,732,unknown,unspecified,1.2739587,103.84363531310518,anson,downtown core,1764000.0,103,18.58,1.41,0.43,1.54,0.46,1.86,0.37
condo,2,689,unknown,unspecified,1.3393381,103.7638932,bukit batok south,bukit batok,1702000.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
condo,3,1076,unknown,unspecified,1.31064045,103.85214926006608,kampong java,kallang,2475900.0,103,16.03,2.95,0.41,1.28,0.25,1.42,0.4
landed,5,11500,unknown,unspecified,1.3423402,103.784489,swiss club,bukit timah,15645000.0,856,22.76,9.86,0.79,2.36,1.03,4.01,0.73
condo,1,700,ground,unspecified,1.3155347,103.825684432334,nassim,tanglin,1312500.0,991,18.7,4.52,1.07,0.75,1.1,2.03,0.5
condo,2,570,unknown,unspecified,1.310429,103.80282102340084,leedon park,bukit timah,1802500.0,1002,21.31,6.16,0.84,0.88,1.22,1.48,0.74
condo,2,1733,high,unspecified,1.3221528,103.94522262523984,bedok south,bedok,2205000.0,62,6.2,11.26,1.79,0.34,0.53,2.64,0.57
condo,2,646,unknown,unspecified,1.32970335,103.90568292831622,kaki bukit,bedok,1365000.0,1000,9.71,7.88,1.74,0.5,0.47,1.86,0.66
condo,1,474,unknown,unspecified,1.3393381,103.7638932,bukit batok south,bukit batok,1008000.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
condo,3,1227,unknown,unspecified,1.36432355,103.83166833259988,upper thomson,bishan,2079000.0,81,17.47,9.16,1.09,0.34,1.01,2.37,0.18
condo,2,850,unknown,unspecified,1.29988105,103.88811428633838,mountbatten,marine parade,2080000.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
hdb,3,1119,unknown,unspecified,1.3816301,103.7421019293336,peng siang,choa chu kang,554400.0,69,27.55,16.27,0.5,0.37,0.41,3.95,0.48
hdb,3,980,unknown,unspecified,1.328739,103.84453365993072,balestier,novena,554400.0,58,16.33,5.01,0.28,0.47,0.34,0.59,0.54
condo,1,517,unknown,partial,1.3129331,103.85686967571708,lavender,kallang,800100.0,986,15.45,3.26,0.19,1.34,0.65,1.69,0.24
condo,4,6200,unknown,unspecified,1.277361,103.84933771170438,cecil,downtown core,19740000.0,94,17.84,0.76,0.39,1.68,1.07,1.19,0.41
hdb,1,470,unknown,unspecified,1.3737939,103.84901393695192,cheng san,ang mo kio,309800.0,57,15.62,9.94,0.18,0.35,0.33,2.54,0.43
condo,4,1496,unknown,unspecified,1.304855,103.77377633404797,dover,queenstown,2730000.0,100,24.59,8.95,0.87,0.56,1.39,0.84,0.9
landed,5,2700,unknown,partial,1.3642682,103.9675891,flora drive,pasir ris,2079000.0,73,2.44,15.68,0.44,1.08,0.72,2.25,1.7
hdb,4,1625,unknown,unspecified,1.2943763,103.80448307932464,mei chin,queenstown,1134000.0,72,21.63,5.35,0.63,0.96,0.42,0.76,0.18
landed,5,7829,unknown,unspecified,1.32201645,103.8364502631857,malcolm,novena,11025000.0,979,17.37,4.53,0.84,0.25,0.39,0.8,0.84
hdb,3,1560,unknown,unspecified,1.3346024,103.90839720876184,kaki bukit,bedok,934500.0,73,9.27,8.46,2.34,1.08,0.52,2.46,0.04
condo,1,657,unknown,unspecified,1.2946685,103.8500737,bras basah,museum,1365000.0,84,16.9,1.2,0.21,0.56,0.34,0.16,0.25
landed,4,4716,unknown,unspecified,1.30062,103.892783,mountbatten,marine parade,8059800.0,1002,12.37,4.95,1.0,0.57,1.0,1.94,0.97
hdb,2,721,unknown,unspecified,1.35539535,103.95322139402808,tampines east,tampines,388500.0,62,3.93,13.81,0.91,0.4,0.49,0.93,0.18
condo,3,1561,unknown,unspecified,1.30668715,103.83618134892708,cairnhill,newton,3832500.0,987,17.86,3.04,0.28,1.45,1.34,1.68,0.65
condo,2,1098,high,partial,1.277361,103.84933771170438,cecil,downtown core,2719500.0,94,17.84,0.76,0.39,1.68,1.07,1.19,0.41
condo,3,1130,unknown,unspecified,1.316643,103.85763,lavender,kallang,2671200.0,1000,15.25,3.68,0.61,0.92,0.58,1.63,0.5
condo,2,872,unknown,unspecified,1.3129422000000002,103.84155234754564,moulmein,novena,2380400.0,984,17.08,3.39,0.53,0.97,0.68,0.81,0.4
landed,4,1392,unknown,unspecified,1.3196642,103.92376598402689,frankel,bedok,4830000.0,957,8.33,8.96,0.83,0.92,0.0,3.37,1.21
condo,3,1281,unknown,unspecified,1.3087662,103.8090654,ridout,tanglin,3245400.0,1001,20.68,5.46,1.55,1.08,1.34,2.13,0.98
condo,3,1130,unknown,unspecified,1.3087662,103.8090654,ridout,tanglin,3032400.0,1000,20.68,5.46,1.55,1.08,1.34,2.13,0.98
hdb,3,1001,low,unspecified,1.4241899,103.8449321,yishun east,yishun,581700.0,94,17.59,15.53,0.77,0.32,0.3,2.93,1.25
condo,1,452,unknown,unspecified,1.30010805,103.84667445597408,dhoby ghaut,museum,1342300.0,100,17.01,1.87,0.2,0.24,0.66,0.6,0.14
condo,4,1765,unknown,partial,1.3443339,103.8786904,upper paya lebar,serangoon,3360000.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,1,646,low,unspecified,1.3031066,103.83293253725688,boulevard,orchard,1412200.0,111,18.33,2.96,0.08,1.77,1.64,2.09,0.75
condo,4,2088,high,partial,1.3116278,103.79388546155636,holland drive,queenstown,7350000.0,102,22.24,7.1,0.18,1.32,1.23,0.71,0.29
hdb,3,1000,unknown,unspecified,1.3870525,103.7722878,fajar,bukit panjang,577500.0,89,24.28,14.41,0.41,0.53,0.37,3.89,1.49
hdb,2,721,unknown,unspecified,1.3557437,103.8713719,serangoon garden,serangoon,435800.0,62,13.03,8.24,0.59,0.36,0.5,0.51,0.59
